OPUS ID,Instrument Name,Planet,Intended Target Name,Observation Start Time,Observation Duration (secs)
co-cirs-0408041343-fp1,Cassini CIRS,Saturn,Sky,2004-08-04T13:43:26.000,50.0000
co-cirs-0408041343-fp3,Cassini CIRS,Saturn,Sky,2004-08-04T13:43:26.000,50.0000
co-cirs-0408041343-fp4,Cassini CIRS,Saturn,Sky,2004-08-04T13:43:26.000,50.0000
co-cirs-0408041543-fp1,Cassini CIRS,Saturn,Sky,2004-08-04T15:43:04.000,4.7500
co-cirs-0408041543-fp3,Cassini CIRS,Saturn,Sky,2004-08-04T15:43:28.000,4.7500
co-cirs-0408041543-fp4,Cassini CIRS,Saturn,Sky,2004-08-04T15:43:28.000,4.7500
co-cirs-0408061707-fp1,Cassini CIRS,Saturn,Saturn,2004-08-06T17:07:34.000,50.0000
co-cirs-0408061707-fp3,Cassini CIRS,Saturn,Saturn,2004-08-06T17:07:34.000,50.0000
co-cirs-0408061707-fp4,Cassini CIRS,Saturn,Saturn,2004-08-06T17:07:34.000,50.0000
co-cirs-0408070607-fp1,Cassini CIRS,Saturn,Sky,2004-08-07T06:07:35.000,12.0000
co-cirs-0408070607-fp3,Cassini CIRS,Saturn,Sky,2004-08-07T06:07:35.000,12.0000
co-cirs-0408070607-fp4,Cassini CIRS,Saturn,Sky,2004-08-07T06:07:35.000,12.0000
co-cirs-0408070816-fp1,Cassini CIRS,Saturn,Sky,2004-08-07T08:16:35.000,50.0000
co-cirs-0408070816-fp3,Cassini CIRS,Saturn,Sky,2004-08-07T08:16:35.000,50.0000
co-cirs-0408070816-fp4,Cassini CIRS,Saturn,Sky,2004-08-07T08:16:35.000,50.0000
co-cirs-0408071517-fp1,Cassini CIRS,Saturn,Saturn,2004-08-07T15:17:34.000,12.0000
co-cirs-0408071517-fp3,Cassini CIRS,Saturn,Saturn,2004-08-07T15:17:34.000,12.0000
co-cirs-0408071517-fp4,Cassini CIRS,Saturn,Saturn,2004-08-07T15:17:34.000,12.0000
co-cirs-0408080642-fp1,Cassini CIRS,Saturn,Saturn,2004-08-08T06:42:34.000,12.0000
co-cirs-0408080642-fp3,Cassini CIRS,Saturn,Saturn,2004-08-08T06:42:34.000,12.0000
co-cirs-0408080642-fp4,Cassini CIRS,Saturn,Saturn,2004-08-08T06:42:34.000,12.0000
co-cirs-0408081342-fp1,Cassini CIRS,Saturn,Sky,2004-08-08T13:42:35.000,12.0000
co-cirs-0408081342-fp3,Cassini CIRS,Saturn,Sky,2004-08-08T13:42:35.000,12.0000
co-cirs-0408081342-fp4,Cassini CIRS,Saturn,Sky,2004-08-08T13:42:35.000,12.0000
co-cirs-0408081551-fp1,Cassini CIRS,Saturn,Sky,2004-08-08T15:51:35.000,50.0000
co-cirs-0408081551-fp3,Cassini CIRS,Saturn,Sky,2004-08-08T15:51:35.000,50.0000
co-cirs-0408081551-fp4,Cassini CIRS,Saturn,Sky,2004-08-08T15:51:35.000,50.0000
co-cirs-0408101502-fp1,Cassini CIRS,Saturn,Saturn,2004-08-10T15:02:35.000,12.0000
